id,title,story_text,score,num_comments,author,created_utc,url
47438930,Show HN: Altimate Code – Open-Source Agentic Data Engineering Harness,"I'm Anand, co-founder and CTO of Altimate AI. My co-founder Pradnesh and I are open-sourcing Altimate Code. AMA.<p>Why we built this:<p>Pradnesh and I have been building tooling for data engineers for three years: dbt Power User  and Datamates vscode extensions with combined 750k+ installs, running against real Fortune 500 data estates. The pattern we kept seeing: general-purpose agents can write SQL, but they have no model of what the SQL does. No lineage. No schema context. No understanding of what's in a dbt manifest. That's not a prompt problem; it's a missing tool layer problem.<p>The numbers make it concrete: 27–33% of AI-generated SQL references tables that don't exist. 78% of errors are silent wrong joins, queries that compile, run, and return confidently incorrect data. One team got a $5k bill from a single Cortex AI query their resource monitors never caught. This isn't a model quality problem. It's a missing harness problem, and we proved it.<p>Claude Code and Cursor are genuinely good for software engineering. But when you point them at a data stack, they hallucinate column names, ignore partition keys, and have no concept of data contracts or quality rules in your models. From building tooling against real data estates, we knew exactly what was missing at the tool level.<p>We forked from OpenCode for the agentic scaffolding. What we added is the entire data layer: compiled Rust engines, purpose-built skills, and the harness that wires them together.<p>What Altimate Code does that general agents can't:<p>- Live column-level lineage: traces any column through joins, CTEs, and subqueries deterministically. 100% edge match on 500K benchmark queries at 0.26ms/query, and not from a cached manifest. Manifests go stale within hours on active pipelines, which makes cached lineage unreliable for anything agentic<p>- SQL anti-pattern detection: 26 rules, zero false positives, 0.48ms/query.<p>- Local SQL validation: interrogates your schema catalog in 2ms without touching your warehouse. Wrong table? Caught with a fuzzy-matched fix suggestion before the LLM goes into a fix loop. That's 10ms for 5 fix cycles vs. 2.5 minutes of Snowflake round-trips<p>- Purpose-built skills for dbt development, testing, troubleshooting, documentation, SQL optimization, and migration.<p>- 3 agent modes with compiled permission enforcement (Builder, Analyst, Planner). “Analyst” enforces read-only at the engine level, not just the prompt. That distinction is what makes it safe to run against production<p>- Persistent memory: cross-session, two scopes (global preferences + project knowledge). Versioned in git, team-inherited on git pull<p>- PII detection, SQL injection scanning, permission enforcement — all at the engine level, not the prompt<p>- 10 data connectors: Snowflake, BigQuery, Databricks, PostgreSQL, Redshift, DuckDB, MySQL, SQL Server etc<p>- Local tracer: every LLM call, tool invocation, and warehouse credit traced locally. No external services.<p>On the benchmarks:<p>We ran ADE-bench, the open standard from dbt Labs<p>Altimate Code (Sonnet 4.6) → 74.4%<p>Cortex Code (Snowflake) (Opus 4.6) → 65%<p>Claude Code (baseline) (Sonnet 4.6) → ~40%<p>A cheaper model with compiled tools outperformed a more expensive model without them. The gap is the harness. Full methodology is in the launch post and linked from the README.<p>To try it:<p>- npm install -g @altimateai/altimate-code<p>- altimate<p>- altimate /discover<p>/discover interrogates your dbt projects, warehouse connections, and installed tools automatically.<p>GitHub: <a href=""https://github.com/AltimateAI/altimate-code"" rel=""nofollow"">https://github.com/AltimateAI/altimate-code</a> · Docs: [altimate-code.sh](<a href=""http://altimate-code.sh"" rel=""nofollow"">http://altimate-code.sh</a>)<p>There's a /feedback command that files a GitHub issue directly. If something breaks or doesn't behave the way you'd expect, use that or reply here. I'll be in this thread.",20,2,aaur0,2026-03-19 13:19:20+00:00,https://github.com/AltimateAI/altimate-code
47129566,Snowflake's AI coding agent beats Claude Code at data engineering,,4,3,umeshunni,2026-02-23 21:58:48+00:00,https://www.snowflake.com/en/blog/cortex-code-cli-expands-support/
47151588,"Agent Skills for Data Engineering (Airflow, Dbt, Analytics)",,4,0,tayloramurphy,2026-02-25 14:01:15+00:00,https://github.com/astronomer/agents
47182731,Data Engineering for Scaling LLM Terminal Capabilities,,2,0,gmays,2026-02-27 16:53:41+00:00,https://arxiv.org/abs/2602.21193
47416329,"Show HN: A complete, containerized data engineering learning platform",,1,1,MarlonPro,2026-03-17 18:23:21+00:00,https://github.com/MarlonRibunal/learning-data-engineering
47234906,Show HN: I built a new programming language for AI and Data – 'ThinkingLanguage',"I built a new programming language for AI & Data - 'ThinkingLanguage' in 5 days capable of transferring 1 Billion rows in 30 seconds.<p>Every data team runs the same stack: Python for glue code, SQL for transforms, Spark or dbt for scale, YAML for orchestration. Four languages, four mental models, four places for bugs.<p>What if one language could do it all?<p>ThinkingLanguage (TL) is a purpose-built language for Data Engineering and AI. The pipe operator is a first-class citizen. Tables, schemas, filters, joins, and aggregations are native - not library calls.<p>let users = read_csv(""users.csv"")<p>users
 |> filter(age > 30)
 |> join(orders, on: id == user_id)
 |> aggregate(by: name, total: sum(amount))
 |> sort(total, ""desc"")
 |> show()<p>What's under the hood:
 - Apache Arrow columnar format
 - DataFusion query engine with lazy evaluation and automatic optimization
 - CSV, Parquet, and PostgreSQL connectors
 - 1M rows filtered + aggregated + sorted in 0.3 ms
 - Written in Rust<p>Includes a JIT compiler (Cranelift/LLVM), native AI/ML operations (train, predict, embed), streaming pipelines with Kafka, GPU (CUDA, ROCm). Python FFI Bridge (Run/Call Python Libraries) and a full ecosystem with notebooks and a package registry.<p>Download via npx, ssh native installer, crates, github<p>This is open source (Apache Licence). If you're a data engineer tired of context-switching between five tools, or a Rust developer who wants to contribute to something new - check it out the github repo: <a href=""https://github.com/mplusm/thinkinglanguage"" rel=""nofollow"">https://github.com/mplusm/thinkinglanguage</a><p>Data Deserves its own language.",3,1,mallesh123,2026-03-03 16:34:25+00:00,https://thinkingdbx.com/thinkinglanguage.html
47146229,Show HN: NeoShift BI – Build AI-analyzed data dashboards in minutes,"Hi HN, I'm Donald.<p>I’m a solo developer building NeoShift BI (and its backend companion, NeoShift ETL).<p>Enterprise BI tools like PowerBI or Looker are incredibly powerful, but they usually require dedicated data engineering teams to manage. On the other end of the spectrum, dumping a CSV into ChatGPT is great for a quick question but terrible for building reproducible, interactive, and shareable dashboards.<p>I wanted something in the middle: a lightweight BI tool tailored for indie devs and SMEs that lets you drop in a dataset and get a full dashboard with AI-generated insights in just a few minutes.<p>The Stack & Architecture:<p>Infrastructure: Google Cloud<p>AI Engine: Claude. We don't just use LLMs for text summaries; Claude powers the entire data infrastructure layer. It natively reads and understands your schema to power:<p>Data Studio Assistant: Automatically finds table relationships and generates complex wide views.<p>Chat-to-Data: Query your datasets naturally without writing SQL.<p>AI Chart Builder: Describe what you want to visualize, and the AI constructs the exact chart to drop into your dashboard.<p>Insight Blocks: Reasons directly over the live data to generate executive summaries and strategic takeaways.<p>The Demo (Why Startups Fail):
To stress-test this, I dropped a Kaggle dataset of 409 startup post-mortems into NeoShift. The AI immediately highlighted that 75% of startups are actually killed by established Giants, not a lack of funding. You can see the generated dashboard and read the AI's analysis here: <a href=""https://bi.neoshift.ai/#/public/dashboard/startup-failure-prediction-69981982ba424041a0deaf35"" rel=""nofollow"">https://bi.neoshift.ai/#/public/dashboard/startup-failure-pr...</a><p>Stress-Test My App (The Open Beta Challenge):
I just shipped a new ""Public Share Links"" feature and I want to test the infrastructure limits. I’m extending our Open Beta to March 27th and running a data storytelling challenge.<p>If you want to break my app or just visualize some cool data, grab a weird dataset from Kaggle, drop it into NeoShift, and share the link. I'm giving a Free Lifetime Enterprise Account (100GB storage, 5 seats) to the dashboard with the best combined score (unique views + feature usage).<p>To track the competition, I built a live Leaderboard using NeoShift BI itself (connected to the Google Analytics API). You can check the exact rules and current standings here: <a href=""https://bi.neoshift.ai/#/public/dashboard/competition-leader-board-699a737cb276d816bf8f319d"" rel=""nofollow"">https://bi.neoshift.ai/#/public/dashboard/competition-leader...</a><p>You can unlock a free share link to test it out with code BETA-320430B4 here: <a href=""https://bi.neoshift.ai/#/register"" rel=""nofollow"">https://bi.neoshift.ai/#/register</a><p>I’d love your brutal, unfiltered feedback on the UI, the depth of the Claude integration, and how the system handles whatever weird CSVs you throw at it. Happy to answer any questions about the architecture!",2,1,DonWono,2026-02-25 01:42:50+00:00,https://news.ycombinator.com/item?id=47146229
47425555,Show HN: Parsing hostile industrial data in 64MB WASM sandboxes,"Hey all, back again.<p>Ingelt is a Rust/Axum gateway that compiles 33 different legacy protocols (Modbus, BACnet, X12, SECS/GEM, etc.) into isolated WebAssembly sandboxes.<p>I have some background in data engineering and in the past, it was so frustrating seeing data pipelines fail due to some quirk on a single row, special character, badly escaped quote, etc... to bring down an entire pipeline.<p>I've been thinking about the problem space and how it abstracts nicely to a common API surface. I understand that industrial data pipelines similarly panic because a legacy C/C++ Modbus or EDIFACT parser hit a malformed hex payload and segfaulted. Industrial and supply chain data is basically hostile by default.<p>The architecture is pretty straightforward:<p>Strict Isolation: Every parse request gets its own pooled Wasmtime instance. If a parser hits an infinite loop, Wasmtime fuel metering kills it. If a malformed payload tries to allocate too much memory, a 64MB StoreLimitsBuilder ceiling traps it. The host never panics.<p>Streaming ABI: I recently added a chunked streaming ABI (parse_init -> parse_chunk -> parse_finalize). It can now ingest a 500MB maritime EDIFACT file with a flat ~1MB memory footprint inside the guest.<p>Output: It spits out clean JSON, or Apache Arrow IPC if you want to pipe it directly into a data warehouse.<p>It is definitely a trade-off. Crossing the Wasm boundary and doing JSON serialization inside the guest adds a few microseconds of latency compared to a raw native parser, but many parsers are pretty slow. I think the trade-off makes sense.<p>I'd appreciate any thoughts on the Wasm isolation model, the streaming ABI approach, or if you think there's a better way to handle the host-guest memory bridge. I'm coming at this as an outsider to industrial protocols and the painpoints for using them, and I'm trying to learn quickly.<p>Thanks",2,0,bneb-dev,2026-03-18 13:27:32+00:00,https://ingelt.com
47296746,Show HN: Caliper – Auto Instrumented LLM Observability with Custom Metadata,"Caliper is designed to auto instrument LLM calls within Python, it monkey patches the OpenAI and Anthropic SDKs (Got plans to add LiteLLM so you can use any provider you want to) so it's almost completely invisible to you as the developer and for basic metrics can slot in as a single init() at start.<p>It can also gather custom metadata about a call, this can be any KV pairs you want, both pre and post request.<p>```python<p>import caliper<p>import anthropic<p>caliper.init(target=""s3"") # This is all that's required for basic observability, no changes needed to LLM calls for basic metrics<p>client = anthropic.Anthropic()<p>response = client.messages.create(<p><pre><code>  model=""claude-sonnet-4-20250514"",

  messages=[{""role"": ""user"", ""content"": ""What is 2 + 2?""}],

  caliper_metadata={""campaign"": ""q4""}, # Pre request metadata
</code></pre>
)<p>print(response.content[0].text)<p>caliper.annotate(sentiment=""positive"") # Post request metadata<p>```<p>You can use this to track effectiveness of model changes, tracking them against difference user tiers. Maybe your free tier users don't notice if you use a cheaper model but you paying users do? How do you know if a recent system prompt change was effective? You can track the version of the prompt in metadata and compare post request rating annotations between prompt versions.<p>It has a dev mode which logs locally, it can also send files to S3. The SDK has a background queue and worker which flushes in batches that are configurable in size and time between flushes. It exports to S3 as batched JSON files to readily to integrate into most data engineering pipelines or you can just query directly with a tool like DuckDB.<p>PyPi: <a href=""https://pypi.org/project/caliper-sdk/"" rel=""nofollow"">https://pypi.org/project/caliper-sdk/</a><p>Edits: formatting and PyPi Link",2,0,OliverGuy,2026-03-08 12:21:35+00:00,https://gitlab.com/usecaliper/caliper-python-sdk
47209602,"Show HN: Pydantypes – The missing Pydantic types for cloud, DevOps, AI","I’ve spent the last few years building infra across AWS, Azure, K8s, and ML pipelines.<p>Every project had the same problem: cloud identifiers like S3 URIs, IAM ARNs, Docker refs, and Azure resource IDs living as bare strings with hand-rolled validation.<p>pydantypes gives you Pydantic v2 types that validate and decompose these into structured attributes. S3Uri gives you .bucket and .key, DockerImageRef gives you .registry, .tag, .digest, etc.<p>Covers AWS, Azure, GCP, DevOps, web identifiers, and data engineering.<p>There’s also LabelEnum for AI/ML classification labels with built-in deprecation, retirement, and alias resolution.<p>If you’ve ever had to evolve a label taxonomy in production, that one might be worth a look on its own.<p>Complements pydantic-extra-types. 1k+ tests, fully typed, MIT.
Happy to take suggestions for types to add.",2,0,theroot_,2026-03-01 19:02:24+00:00,https://github.com/oborchers/pydantypes
